id,label,frequency,group
red cabbage,red cabbage,134,1
dijon mustard,dijon mustard,513,1
tamarind paste,tamarind paste,84,1
creole mustard,creole mustard,65,1
chili flakes,chili flakes,158,1
cachaca,cachaca,70,1
fenugreek seeds,fenugreek seeds,73,1
green pepper,green pepper,373,1
ground cardamom,ground cardamom,237,1
mascarpone,mascarpone,149,1
fresh pineapple,fresh pineapple,56,1
herbes de provence,herbes de provence,65,1
palm sugar,palm sugar,122,1
pineapple juice,pineapple juice,82,1
grated orange,grated orange,149,1
fusilli,fusilli,53,1
egg yolks,egg yolks,542,1
onion powder,onion powder,528,1
pork shoulder,pork shoulder,135,1
ginger paste,ginger paste,119,1
cayenne pepper,cayenne pepper,1523,1
egg roll wrappers,egg roll wrappers,57,1
pancetta,pancetta,177,1
curds,curds,67,1
vegetable broth,vegetable broth,409,1
fresh leav spinach,fresh leav spinach,57,1
mozzarella cheese,mozzarella cheese,467,1
couscous,couscous,189,1
sugar pea,sugar pea,104,1
nori,nori,96,1
blanched almonds,blanched almonds,93,1
extra sharp cheddar cheese,extra sharp cheddar cheese,51,1
dried cranberries,dried cranberries,51,1
melted butter,melted butter,276,1
self rising flour,self rising flour,193,1
turnips,turnips,113,1
yellow corn meal,yellow corn meal,341,1
fenugreek leaves,fenugreek leaves,59,1
vanilla extract,vanilla extract,1298,1
yeast,yeast,109,1
navel oranges,navel oranges,58,1
reduced-fat sour cream,reduced-fat sour cream,105,1
taco seasoning mix,taco seasoning mix,181,1
fat,fat,92,1
littleneck clams,littleneck clams,62,1
pork butt,pork butt,67,1
garlic salt,garlic salt,240,1
marinara sauce,marinara sauce,229,1
ranch dressing,ranch dressing,73,1
fresh ginger root,fresh ginger root,338,1
boiling water,boiling water,350,1
white miso,white miso,71,1
sharp cheddar cheese,sharp cheddar cheese,154,1
curry paste,curry paste,106,1
chorizo sausage,chorizo sausage,103,1
peaches,peaches,263,1
tortillas,tortillas,222,1
salted butter,salted butter,77,1
salad,salad,61,1
asparagus spears,asparagus spears,62,1
asparagus,asparagus,230,1
jalapeno chilies,jalapeno chilies,1730,1
manchego cheese,manchego cheese,60,1
red chili powder,red chili powder,220,1
prosciutto,prosciutto,284,1
sweet potatoes,sweet potatoes,455,1
bacon drippings,bacon drippings,66,1
saffron threads,saffron threads,277,1
hot red pepper flakes,hot red pepper flakes,171,1
